100
Step 10
2.864137e+00 -4.423997e+00 -1.668408e+00
3.144480e+00 -2.473644e+00 4.439713e+00
-9.149755e-01 -3.970084e+00 -4.814921e+00
8.647611e-01 -4.019349e+00 -4.695772e+00
-3.443284e+00 -4.262110e+00 -1.244975e+00
-9.079944e-01 1.211546e+00 -2.813669e+00
-1.669720e+00 -1.699366e+00 1.592612e+00
-3.340561e+00 4.657060e+00 7.134104e-01
1.507555e+00 2.411040e+00 -3.256987e+00
-2.604637e+00 9.827152e-01 -6.545207e-01
2.874558e+00 -1.257096e+00 2.206300e+00
-1.285588e-01 3.163412e+00 2.921239e+00
1.371304e+00 2.092742e+00 -1.662362e-01
1.809810e+00 3.508995e+00 4.279101e+00
4.787887e+00 3.291348e+00 5.051448e-01
2.726798e+00 -4.711471e+00 -4.101618e+00
-9.562915e-01 -8.753436e-02 3.712981e+00
7.939078e-01 4.206879e+00 -3.979723e+00
-6.786916e-01 -4.899428e+00 -2.308702e+00
2.586824e+00 -1.378850e+00 -2.227019e+00
3.220265e+00 -8.270722e-01 -3.001690e+00
3.617738e+00 -2.000995e+00 2.727683e+00
8.368779e-01 3.947808e+00 -8.985805e-01
9.809406e-01 -4.714530e+00 2.615024e-01
-4.145281e-01 9.791544e-01 3.251403e+00
-2.462231e+00 -4.992892e+00 4.466416e+00
1.779033e+00 1.913527e+00 -1.358199e+00
3.779224e-01 -3.622408e+00 3.293711e+00
2.908311e+00 2.938346e+00 1.413901e+00
2.266716e+00 5.323772e-01 -2.054356e+00
-3.413061e+00 -2.740104e-01 -2.051215e+00
2.438030e+00 -3.464194e-01 -4.207476e+00
3.077986e+00 -1.700149e+00 -2.641137e+00
-4.333492e+00 -2.476650e-01 3.472575e+00
4.637076e-01 2.223735e+00 -4.906313e+00
-6.502883e-01 -4.387112e+00 4.606690e+00
-2.114346e+00 -1.950956e+00 -3.683428e+00
1.496779e+00 9.181455e-01 -9.155472e-01
1.061129e+00 -3.318701e+00 -1.381957e+00
-3.034575e+00 3.996493e+00 -7.265214e-01
-6.237044e-01 6.938556e-01 -8.075686e-01
4.886171e-01 -2.250909e+00 -1.844860e+00
6.170889e-01 -8.427831e-01 3.872379e-01
3.470833e+00 1.171565e+00 -3.226102e+00
-4.022348e+00 2.030903e+00 2.947519e+00
3.307487e+00 -4.990374e+00 1.124371e+00
-9.199594e-01 -2.590300e+00 4.821719e+00
-4.365885e+00 3.938516e+00 4.723305e-01
4.958370e+00 2.302898e+00 -9.228483e-01
-4.348733e+00 -4.682548e+00 4.934030e+00
-2.414895e-01 1.259387e+00 1.306717e+00
-4.599276e+00 4.230528e+00 -2.198177e-01
-4.020766e-01 1.749130e+00 2.772061e-01
1.128564e+00 9.711296e-01 -4.689161e+00
2.735645e+00 -4.942829e+00 -2.255058e+00
-4.385135e+00 3.167477e+00 1.134211e+00
-9.831931e-01 9.991362e-01 1.314849e+00
6.668377e-01 -4.418207e+00 2.540439e+00
9.566674e-02 4.828597e+00 -1.795466e+00
-3.583601e+00 3.919665e+00 1.993981e+00
-2.893980e+00 3.353853e+00 -4.505195e+00
-4.627661e+00 2.979707e+00 -9.783868e-01
-3.368976e+00 1.817111e+00 1.142653e+00
4.101763e+00 2.443818e+00 4.683336e+00
-4.327354e+00 5.669216e-01 -4.493055e+00
5.278540e-01 -4.256852e+00 6.679235e-01
6.501563e-01 1.101342e+00 -2.495724e+00
-6.607900e-01 -9.809167e-01 2.061960e+00
3.081026e+00 -4.079922e+00 3.724176e+00
3.825510e+00 3.804333e+00 1.535217e-01
1.963715e+00 -2.394573e+00 -5.342297e-01
5.634910e-01 -2.750008e-01 3.706517e+00
-1.955541e+00 9.560927e-01 -2.063749e+00
1.407791e+00 2.900367e-01 4.508452e+00
-3.587413e+00 4.876959e+00 4.616359e+00
-2.297948e+00 2.720942e+00 4.833486e+00
3.906358e+00 2.684200e+00 3.955801e+00
3.558843e+00 -7.070148e-01 -2.317053e+00
-4.518981e+00 3.656029e-01 -2.384835e+00
2.364331e-01 -1.246476e+00 -2.730097e+00
-1.815610e+00 -2.129663e+00 4.927631e+00
100
Step 50
-3.807066e+00 -2.301257e+00 9.164782e-01
-4.152150e+00 -3.824096e+00 -2.894289e+00
3.867606e+00 -1.511636e+00 -2.536977e+00
2.543055e+00 -7.101105e-01 -2.626014e+00
4.915528e+00 9.485888e-01 -2.376539e+00
2.114433e+00 3.683368e-01 3.025660e+00
2.861648e-01 2.735907e+00 1.927156e+00
1.850917e-01 -2.836541e+00 3.215311e+00
7.956849e-01 -3.892937e+00 -1.867297e+00
2.193495e+00 -4.230168e+00 -1.999262e+00
2.389418e+00 3.918858e+00 3.187565e+00
3.681023e+00 1.971205e+00 -2.940776e+00
-5.703409e-01 7.093284e-01 -4.401146e+00
3.464559e+00 4.926595e-01 -2.798963e+00
2.816143e+00 3.347119e+00 -2.692788e+00
-7.840320e-01 -8.348215e-01 6.551924e-01
-4.549890e+00 -2.365210e+00 3.504293e+00
-1.414202e-01 -3.873842e-01 1.173872e+00
3.213847e+00 -1.472991e+00 1.419813e+00
2.871574e+00 -4.424009e+00 -1.661767e+00
3.150429e+00 -2.323408e+00 4.506462e+00
-9.228378e-01 -3.957688e+00 -4.797740e+00
8.647577e-01 -4.019350e+00 -4.695773e+00
-3.443284e+00 -4.262111e+00 -1.244975e+00
-9.079977e-01 1.211543e+00 -2.813665e+00
-1.669711e+00 -1.699360e+00 1.592612e+00
-3.340572e+00 4.657049e+00 7.134081e-01
1.507555e+00 2.411040e+00 -3.256986e+00
-2.604635e+00 9.827149e-01 -6.545242e-01
2.858642e+00 -1.246970e+00 2.243208e+00
-1.285564e-01 3.163410e+00 2.921234e+00
1.371306e+00 2.092735e+00 -1.662481e-01
1.809813e+00 3.508998e+00 4.279094e+00
4.730073e+00 3.299929e+00 4.612337e-01
2.726797e+00 -4.711471e+00 -4.101617e+00
-9.562832e-01 -8.752736e-02 3.712977e+00
7.939083e-01 4.206879e+00 -3.979724e+00
-6.788303e-01 -4.899378e+00 -2.308795e+00
2.566219e+00 -1.371259e+00 -2.209354e+00
3.236852e+00 -8.307393e-01 -3.018202e+00
3.617732e+00 -2.000989e+00 2.727675e+00
8.368754e-01 3.947812e+00 -8.985827e-01
9.859928e-01 -4.719635e+00 2.569687e-01
-4.145303e-01 9.791451e-01 3.251406e+00
-2.462234e+00 -4.992892e+00 4.466417e+00
1.779030e+00 1.913526e+00 -1.358193e+00
3.785914e-01 -3.625138e+00 3.293983e+00
2.908312e+00 2.938348e+00 1.413900e+00
2.266719e+00 5.323747e-01 -2.054358e+00
-3.413067e+00 -2.740049e-01 -2.051217e+00
2.438032e+00 -3.464198e-01 -4.207469e+00
3.062440e+00 -1.719640e+00 -2.659647e+00
-4.333492e+00 -2.476651e-01 3.472575e+00
4.637099e-01 2.223731e+00 -4.906312e+00
-6.424232e-01 -4.399498e+00 4.589507e+00
-2.114344e+00 -1.950957e+00 -3.683434e+00
1.496781e+00 9.181501e-01 -9.155497e-01
1.069783e+00 -3.299976e+00 -1.366137e+00
-3.034580e+00 3.996495e+00 -7.265173e-01
-6.237046e-01 6.938585e-01 -8.075658e-01
4.886209e-01 -2.250913e+00 -1.844861e+00
6.170775e-01 -8.427797e-01 3.872445e-01
3.470905e+00 1.194016e+00 -3.240757e+00
-4.022348e+00 2.030904e+00 2.947518e+00
3.307488e+00 -4.990376e+00 1.124369e+00
-9.198917e-01 -2.590342e+00 4.821712e+00
-4.364440e+00 3.937046e+00 4.761896e-01
4.956398e+00 2.299676e+00 -9.225824e-01
-4.348985e+00 -4.682402e+00 4.934135e+00
-2.371504e-01 1.260910e+00 1.306666e+00
-4.600617e+00 4.232196e+00 -2.237908e-01
-4.020777e-01 1.749122e+00 2.772128e-01
1.164614e+00 1.028064e+00 -4.735806e+00
2.697808e+00 -5.000020e+00 -2.212898e+00
-4.327415e+00 3.158701e+00 1.178232e+00
-9.875272e-01 9.976138e-01 1.314891e+00
6.668366e-01 -4.418204e+00 2.540440e+00
9.581225e-02 4.828549e+00 -1.795370e+00
-3.583605e+00 3.919664e+00 1.993972e+00
-2.893985e+00 3.353860e+00 -4.505190e+00
-4.625690e+00 2.982937e+00 -9.786437e-01
-3.368977e+00 1.817112e+00 1.142653e+00
4.102763e+00 2.442478e+00 4.687626e+00
-4.327355e+00 5.669215e-01 -4.493055e+00
5.228017e-01 -4.251749e+00 6.724562e-01
6.501568e-01 1.101343e+00 -2.495723e+00
-6.607929e-01 -9.809152e-01 2.061946e+00
3.075116e+00 -4.230095e+00 3.657000e+00
3.825519e+00 3.804331e+00 1.535265e-01
1.963712e+00 -2.394575e+00 -5.342329e-01
5.634923e-01 -2.749936e-01 3.706521e+00
-1.955536e+00 9.560936e-01 -2.063749e+00
1.407787e+00 2.900306e-01 4.508443e+00
-3.587156e+00 4.876812e+00 4.616253e+00
-2.297943e+00 2.720937e+00 4.833480e+00
3.905318e+00 2.685478e+00 3.951937e+00
3.561752e+00 -7.052913e-01 -2.311257e+00
-4.516980e+00 3.635422e-01 -2.384863e+00
2.381794e-01 -1.248556e+00 -2.728892e+00
-1.815678e+00 -2.129628e+00 4.927645e+00
100
Step 60
-3.807066e+00 -2.301257e+00 9.164783e-01
-4.152149e+00 -3.824097e+00 -2.894288e+00
3.904438e+00 -1.505045e+00 -2.533677e+00
2.522601e+00 -7.019319e-01 -2.617974e+00
4.913125e+00 9.510585e-01 -2.376506e+00
2.114430e+00 3.683353e-01 3.025664e+00
2.861607e-01 2.735907e+00 1.927161e+00
1.842875e-01 -2.833266e+00 3.214985e+00
7.868810e-01 -3.911993e+00 -1.883400e+00
2.185155e+00 -4.227508e+00 -2.003045e+00
2.389413e+00 3.918854e+00 3.187574e+00
3.681235e+00 1.972019e+00 -2.940491e+00
-5.703374e-01 7.093302e-01 -4.401145e+00
3.464333e+00 4.692689e-01 -2.784269e+00
2.816142e+00 3.347116e+00 -2.692789e+00
-7.842745e-01 -8.349959e-01 6.550014e-01
-4.549891e+00 -2.365209e+00 3.504293e+00
-1.411729e-01 -3.872143e-01 1.174074e+00
3.229749e+00 -1.483112e+00 1.382963e+00
2.880027e+00 -4.423871e+00 -1.654290e+00
3.156354e+00 -2.173780e+00 4.572941e+00
-9.309297e-01 -3.944929e+00 -4.780058e+00
8.647536e-01 -4.019351e+00 -4.695775e+00
-3.443285e+00 -4.262112e+00 -1.244975e+00
-9.080018e-01 1.211540e+00 -2.813660e+00
-1.669700e+00 -1.699352e+00 1.592613e+00
-3.340586e+00 4.657036e+00 7.134054e-01
1.507556e+00 2.411039e+00 -3.256985e+00
-2.604633e+00 9.827144e-01 -6.545286e-01
2.842747e+00 -1.236857e+00 2.280071e+00
-1.285536e-01 3.163406e+00 2.921228e+00
1.371309e+00 2.092727e+00 -1.662630e-01
1.809818e+00 3.509001e+00 4.279085e+00
