100
 Atoms. Timestep: 340
X 9.80143 9.01004 0.292733
X 9.73239 9.39397 1.93113
X 2.91305 7.77405 6.33111
X 0.689968 8.61898 1.77662
X 4.63411 4.08568 3.57003
X 3.61334 4.55835 3.34204
X 1.25425 7.8485 5.62909
X 4.45447 9.27482 6.4506
X 0.937753 6.96557 6.29778
X 3.68308 8.66732 6.23151
X 2.76949 8.85138 6.8672
X 2.71065 8.95057 5.71025
X 1.98196 7.29011 6.265
X 1.21378 7.85142 6.77372
X 2.29599 8.00672 5.37988
X 2.24419 7.83558 7.28013
X 2.06976 8.41968 6.17732
X 1.30498 7.76216 7.82812
X 3.64112 5.20305 9.33546
X 4.43996 8.33505 7.95458
X 0.695824 9.41598 9.88553
X 0.476458 7.38001 7.19454
X 1.65274 6.9258 7.16417
X 5.16646 3.58803 0.731124
X 9.23537 9.52797 0.966549
X 0.555051 3.38653 2.1275
X 6.98901 3.61108 1.3468
X 5.39453 2.45185 0.488824
X 6.0882 3.12351 1.08629
X 7.12054 3.16641 0.257502
X 6.20577 4.28274 0.605797
X 6.37531 2.44278 0.219559
X 3.97615 3.64474 2.8647
X 6.56854 1.86063 4.71483
X 7.6 1.54625 4.81728
X 0.87808 3.25314 3.32167
X 7.41979 2.48751 4.09171
X 7.36584 4.39909 0.451394
X 0.472382 0.35063 9.48713
X 5.71876 3.36258 9.97383
X 9.40796 0.626168 9.44419
X 0.0932074 0.999186 0.137094
X 5.56459 2.46096 9.46952
X 9.90123 9.5416 9.19634
X 8.79874 8.60647 0.745622
X 7.45225 5.24342 0.617994
X 9.08936 7.77417 1.31679
X 6.74025 4.86593 1.25049
X 6.45157 5.06273 0.244855
X 9.75171 8.14635 2.17162
X 4.54403 8.29813 5.65682
X 0.287506 7.59524 1.39848
X 8.7753 8.82215 1.79357
X 5.11314 7.75787 6.37455
X 0.241761 7.64265 6.34056
X 5.25598 8.8207 6.4059
X 4.44845 8.16196 6.88566
X 5.06756 9.17255 7.37428
X 5.44915 8.17523 7.15044
X 0.578019 7.51913 0.248068
X 8.80426 9.49219 9.93593
X 6.57433 4.14574 9.63756
100
 Atoms. Timestep: 380
X 0.141452 0.536172 1.24143
X 3.74967 2.50296 1.30976
X 4.30443 2.65264 2.50291
X 9.83426 9.9392 0.181068
X 3.18436 4.27096 2.47718
X 0.389919 9.39002 0.960281
X 4.0088 3.58688 1.6537
X 2.30081 3.62911 2.3195
X 0.876205 0.335802 0.582455
X 1.1104 4.22028 3.71328
X 2.51228 2.69385 2.96218
X 3.4539 8.13815 5.27425
X 3.7502 9.14024 5.27091
X 3.10035 3.66426 3.24769
X 1.52339 2.95915 2.48111
X 3.50517 2.60738 3.22249
X 1.94312 3.49964 3.40727
X 1.31177 3.92786 2.75434
X 3.30245 3.18106 2.2819
X 1.52603 3.11214 6.75121
X 3.74174 3.44375 4.02083
X 3.77985 9.16961 7.2003
X 2.09476 9.48346 6.38723
X 2.05333 2.67218 7.84679
X 2.73922 3.19864 7.19455
X 3.28743 9.52215 6.29331
X 2.25779 2.21633 6.9653
X 4.60814 2.78465 1.23011
X 1.61473 3.33634 8.72116
X 4.68046 3.16792 9.746
X 1.04111 3.41114 7.90485
X 1.83656 3.73207 7.76317
X 4.06829 3.48415 0.67873
X 4.22689 2.5052 0.312781
X 0.595463 8.49301 0.654707
X 9.57062 7.84169 0.432615
X 0.296548 8.45472 9.55793
X 9.65811 8.47905 1.11966
X 9.82118 9.02697 0.315643
X 9.69862 9.39918 1.92172
X 2.91365 7.75729 6.33577
X 0.689842 8.61988 1.79018
X 4.62531 4.06729 3.56957
X 3.60975 4.57595 3.34184
X 1.26498 7.85358 5.61447
X 4.46364 9.25654 6.47911
X 0.928369 6.98513 6.30268
X 3.69402 8.68633 6.21477
X 2.76642 8.87048 6.85313
X 2.69436 8.972 5.70844
X 1.97991 7.28952 6.26971
X 1.21662 7.84669 6.76769
X 2.28605 8.03473 5.38048
X 2.24836 7.83249 7.30222
X 2.10004 8.41742 6.15093
X 1.30195 7.77251 7.81364
X 3.64733 5.19155 9.33137
X 4.4427 8.32233 7.96662
X 0.69186 9.43351 9.87079
X 0.465442 7.43763 7.17504
X 1.66344 6.93158 7.15474
X 5.16067 3.57295 0.728204
X 9.22986 9.51708 0.945217
X 0.574457 3.40911 2.09624
X 6.99642 3.58649 1.34985
X 5.41345 2.4315 0.493119
X 6.08521 3.13967 1.10622
X 7.177 3.12854 0.248325
X 6.20972 4.33041 0.593579
X 6.38101 2.46276 0.242093
X 3.95662 3.65696 2.87179
X 6.57347 1.85707 4.71912
X 7.5938 1.54087 4.81732
X 0.894304 3.25758 3.32519
X 7.43803 2.51191 4.08622
X 7.38591 4.41926 0.447859
X 0.462526 0.347856 9.49205
X 5.67972 3.36753 9.98633
X 9.41392 0.65353 9.4416
X 0.10164 0.984391 0.104093
X 5.58327 2.46409 9.49112
X 9.92377 9.55436 9.17546
X 8.80242 8.60084 0.765216
X 7.44773 5.20276 0.597267
X 9.08979 7.77322 1.29835
X 6.74032 4.88211 1.23584
X 6.43795 5.05894 0.24843
X 9.75298 8.12431 2.16251
X 4.54392 8.26719 5.64199
X 0.302917 7.57964 1.423
X 8.75086 8.82208 1.79314
X 5.08285 7.77502 6.39813
X 0.240872 7.6216 6.35454
X 5.22323 8.8299 6.4124
X 4.43756 8.12774 6.90164
X 5.1036 9.17015 7.38825
X 5.4528 8.1768 7.10101
X 0.573387 7.54714 0.251005
X 8.78241 9.46408 9.92666
X 6.57139 4.14798 9.64296
100
 Atoms. Timestep: 390
X 0.174556 0.564127 1.23534
X 3.76731 2.46452 1.30695
X 4.31849 2.65314 2.54637
X 9.82856 9.9268 0.163401
X 3.16279 4.28416 2.51344
X 0.385153 9.3817 0.950301
X 3.99049 3.57617 1.63437
X 2.30159 3.62355 2.31589
X 0.877476 0.33996 0.592686
X 1.10048 4.21782 3.71802
X 2.51587 2.70067 2.97564
X 3.44949 8.1452 5.26017
X 3.74157 9.12427 5.24005
X 3.12503 3.6748 3.25841
X 1.52917 2.97144 2.47962
X 3.49101 2.59369 3.22584
X 1.95142 3.50592 3.415
X 1.31912 3.91379 2.78495
X 3.31506 3.19568 2.29153
X 1.51846 3.09651 6.7293
X 3.72733 3.42743 4.04275
X 3.77165 9.18626 7.18948
X 2.07611 9.47315 6.38989
X 2.07588 2.65759 7.85307
X 2.75863 3.18302 7.20849
X 3.28317 9.50146 6.27658
X 2.26709 2.20294 6.9922
X 4.57647 2.77275 1.20607
X 1.61247 3.32542 8.73246
X 4.66293 3.16062 9.73305
X 1.06041 3.44671 7.92998
X 1.82776 3.70537 7.77895
X 4.06176 3.48654 0.682724
X 4.22334 2.52572 0.291114
X 0.586087 8.50406 0.663523
X 9.56079 7.83207 0.441186
X 0.290134 8.48287 9.5568
X 9.64042 8.45131 1.10258
X 9.84079 9.04374 0.338388
X 9.66498 9.40437 1.91233
X 2.91426 7.74059 6.34042
X 0.689709 8.62078 1.80369
X 4.61655 4.04897 3.56913
X 3.60618 4.59351 3.34165
X 1.27567 7.85864 5.59992
X 4.47261 9.23846 6.50753
X 0.919067 7.00455 6.30755
X 3.70493 8.70519 6.19809
X 2.76337 8.88949 6.83912
X 2.67817 8.99338 5.70657
X 1.97787 7.28894 6.27438
X 1.21951 7.84203 6.76166
X 2.27619 8.06256 5.38091
X 2.25253 7.82941 7.32423
X 2.13011 8.4152 6.12485
X 1.29894 7.78282 7.79922
X 3.65351 5.18009 9.3273
X 4.44543 8.30966 7.97863
X 0.687933 9.45096 9.85611
X 0.454477 7.49499 7.15585
X 1.67408 6.93733 7.14537
X 5.15487 3.55794 0.72536
X 9.22436 9.50625 0.923982
X 0.593797 3.43162 2.0651
X 7.00381 3.562 1.35288
X 5.43226 2.41122 0.497424
X 6.08222 3.15576 1.12608
X 7.23327 3.09081 0.239183
X 6.21352 4.37753 0.581576
X 6.38671 2.48267 0.264545
X 3.93725 3.66914 2.87883
X 6.57839 1.85354 4.72339
X 7.58763 1.53552 4.81735
X 0.910448 3.26198 3.32871
X 7.45622 2.53623 4.08076
X 7.40584 4.43855 0.44418
X 0.452745 0.345091 9.4969
X 5.64086 3.37246 9.99872
X 9.41984 0.680789 9.43899
X 0.110035 0.969693 0.071257
X 5.60188 2.4672 9.51262
X 9.94622 9.56706 9.15464
X 8.806 8.59524 0.784694
X 7.44329 5.16307 0.576754
X 9.09016 7.7722 1.28003
X 6.74038 4.89824 1.22129
X 6.4245 5.05554 0.251808
X 9.75424 8.10235 2.15344
X 4.54381 8.23637 5.62721
X 0.318274 7.56409 1.44743
X 8.7265 8.82202 1.79273
X 5.05272 7.79196 6.42141
X 0.239869 7.60073 6.36824
X 5.19078 8.83899 6.41882
X 4.42658 8.0937 6.91765
X 5.1395 9.16776 7.40218
X 5.45653 8.17842 7.05192
X 0.568775 7.57504 0.253927
X 8.76064 9.43605 9.91742
X 6.56846 4.15021 9.64833
100
 Atoms. Timestep: 400
X 0.207516 0.591988 1.22929
X 3.78469 2.42614 1.30418
X 4.3325 2.65365 2.58967
X 9.82287 9.91457 0.145788
X 3.14128 4.29734 2.54952
X 0.380499 9.37353 0.940506
X 3.97225 3.56551 1.61516
X 2.30238 3.61801 2.31229
X 0.878763 0.344091 0.602853
X 1.09059 4.21538 3.72277
X 2.51943 2.70748 2.98905
X 3.44508 8.15222 5.24614
X 3.73296 9.10837 5.20929
X 3.14947 3.68527 3.26919
X 1.53493 2.98367 2.47812
X 3.47692 2.58004 3.22918
X 1.95972 3.51217 3.42272
X 1.32647 3.89983 2.81538
X 3.3276 3.21022 2.30111
X 1.51092 3.08093 6.70747
X 3.71298 3.41116 4.06461
X 3.76345 9.20285 7.17874
X 2.0575 9.4629 6.39255
X 2.09835 2.64306 7.85935
X 2.77798 3.16746 7.22239
X 3.2789 9.48098 6.25992
X 2.27636 2.1896 7.01899
X 4.54514 2.76096 1.18211
X 1.61024 3.31454 8.74377
X 4.64547 3.15338 9.72011
X 1.07914 3.482 7.95509
X 1.81948 3.67892 7.79457
X 4.05525 3.48893 0.686648
X 4.21977 2.54613 0.269536
X 0.57679 8.51501 0.672305
X 9.55101 7.82241 0.449601
X 0.283742 8.51091 9.55567
X 9.62302 8.42385 1.08569
X 9.86023 9.06025 0.360899
X 9.63145 9.40954 1.90298
X 2.91488 7.72395 6.34504
X 0.689571 8.62168 1.81715
X 4.60782 4.03071 3.56869
X 3.60265 4.61102 3.3415
X 1.28632 7.86368 5.58542
X 4.48116 9.22069 6.53589
X 0.909888 7.02381 6.31238
X 3.71584 8.72384 6.18146
X 2.76032 8.9084 6.82519
X 2.66211 9.01476 5.70462
X 1.97585 7.28837 6.279
X 1.22247 7.83745 6.75561
X 2.26645 8.09011 5.38095
X 2.25668 7.82636 7.34615
X 2.15991 8.41307 6.0993
X 1.29592 7.7931 7.78487
X 3.65967 5.16867 9.32324
